Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
Random Forest,0.9737234374458349,0.9393232205367561,0.7111307420494699,0.8094519859225742,0.9641225881095932,18.65465807914734
XGBoost,0.9711235137102645,0.9076923076923077,0.7036219081272085,0.7927345110724061,0.970949595300485,0.5773048400878906
Logistic Regression,0.8581134953374701,0.31987394130391966,0.7173144876325088,0.4424465331698679,0.8748137542139168,2.572813034057617
