Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s),Memory (KB)
Gradient Boosting,0.9592331958262558,0.8670715249662618,0.5675795053003534,0.6860651361452216,0.9370040867399911,27.01380205154419,8.6328125
Bagging,0.9591638645266406,0.8698910081743869,0.5640459363957597,0.6843515541264737,0.9381752552077374,178.14089393615723,59.6953125
LightGBM,0.9587132110791416,0.8702553485162181,0.5569787985865724,0.6792351198491786,0.9408522164527955,0.4670252799987793,13.0234375
XGBoost,0.9581585606822199,0.8682926829268293,0.5503533568904594,0.6736955934036226,0.9407894338938951,0.563040018081665,9.2109375
CatBoost,0.9572572537872223,0.8771031455742502,0.5295936395759717,0.6604241255852382,0.9310154680539876,1.135132074356079,3.6171875
