Feature,FisherScore
V258,0.16712454747438074
V242,0.16612799936693728
V244,0.1658783962121502
V257,0.16526172916954374
V246,0.15188366220681224
card3,0.1390299025448086
V243,0.1339697112449384
id_17,0.13322191061426067
id_35,0.13311375461599803
V189,0.13137680864038567
V201,0.12857711182998496
V230,0.11981375282339858
V188,0.11822300673033222
V200,0.11604476240472086
V199,0.10980616864115018
V228,0.10872551880896704
V170,0.10671399104212557
V171,0.10210198477248202
V190,0.09692026960187597
ProductCD,0.09428048638682507
V222,0.08274570461598836
V229,0.0802331472934773
V186,0.07905346001951984
V176,0.07140610864098289
V149,0.06997329777450002
V123,0.06897471523743816
V158,0.0676105903549396
V259,0.06755184228824737
V156,0.06691935574857272
V154,0.06338587703694026
V148,0.06321083053019041
V155,0.05961654329038864
V125,0.05919270421664693
V157,0.059076026350647355
V221,0.05904830981655684
id_01,0.058464357823436876
V153,0.05801866032017899
V194,0.05698270980020805
TransactionID,0.05577904986711284
V262,0.05523824956665483
V124,0.051672964811116544
TransactionDT,0.0509416260350993
id_28,0.04934516350131044
V197,0.04830960586081415
V152,0.046922319752592916
V150,0.04682010013955509
V151,0.046788831328900646
V195,0.04661644090073583
V247,0.04645921822741249
V145,0.04620876136177976
V160,0.04497720643626513
V159,0.04494110748475585
V239,0.04481252578723317
V249,0.043537161303032326
V260,0.041034645523605785
V184,0.04048314257232323
V144,0.03966717325973962
V261,0.038506327328856546
V198,0.037832880198216595
V140,0.03737945127981038
V245,0.036717454358175236
V238,0.03623147331690724
id_14,0.035102247762549915
V252,0.03411477660579184
V248,0.0327273194102478
V165,0.03222765067236939
V139,0.02769781971890388
DeviceType,0.027021207072764203
V185,0.026982636746750745
id_38,0.026527126878273466
V147,0.025709017083976427
V232,0.022831037281197942
id_20,0.022387608015784027
V235,0.021794789363760933
id_15,0.020823559343613775
V166,0.01912049265733177
card2,0.019039020944765273
V146,0.018948457331040832
V218,0.01839463729348058
V219,0.017679610021128164
V233,0.01724905148895285
V217,0.017169295430781953
V191,0.015585415356674246
id_31,0.015462254277950723
V254,0.015114390983994804
V220,0.013999034477653414
V231,0.01391174619250351
id_02,0.013813647387769488
V169,0.011959574850290871
V237,0.011582428897296933
V251,0.01137587141880982
V236,0.011079318020033495
id_19,0.010887760102839022
V143,0.010799128724005635
id_36,0.010214497525895625
V256,0.009631019368876533
V164,0.009489299652728047
V196,0.008552500543222133
V299,0.008420658239983747
V285,0.008298217453432701
V330,0.008167716615991282
V329,0.008153506063046623
V303,0.007939550350795284
V286,0.007766529278300523
V297,0.007760419812667675
V283,0.007445904858779436
card1,0.007427699416793021
V333,0.0073676505091459935
V298,0.007200501498892519
V304,0.00719609326866573
V324,0.007182932384361265
V128,0.007126540557151515
V287,0.007084348210730246
V332,0.006926583093764293
V323,0.006861349541064065
V127,0.0068310589687648774
V328,0.006698225826382428
V134,0.006688546083777458
V308,0.006627949048666569
V296,0.006611658235690349
V136,0.006597164580391432
V133,0.006356671925472786
V338,0.0062895669933157585
V250,0.006202380610445849
V318,0.006181523664244811
V331,0.0061139213552236634
V280,0.006022293925107995
id_04,0.0059463895526417915
V306,0.005891025566719736
V322,0.005746268983912413
V126,0.005691790959049933
V295,0.005674165184493375
V279,0.005525941628788447
V255,0.005511642335298375
V316,0.0055013640026401215
V132,0.0053181992547945865
V293,0.005274787160733785
V326,0.005120440689207115
V302,0.005003382067443561
id_06,0.004861869038590639
V307,0.004788853590133185
V320,0.004780831125765492
V181,0.004777747546777717
V120,0.0047378579442181835
V122,0.004692093830963154
card4,0.0046212703142144975
V212,0.004517353014444712
V121,0.004451646880261105
V137,0.0044277217939000186
V213,0.0043649228533941785
V339,0.004317380002334687
V204,0.004314339088247713
V317,0.0042760885390678805
V284,0.004268405694866833
V141,0.004202436783156236
V271,0.004111198213516284
V310,0.00390003864203279
id_33,0.0037061488501520553
V272,0.003646690964902466
V203,0.0036381607165924612
V211,0.0035826676680483747
id_09,0.003571218907272636
V187,0.0035363530456885735
id_37,0.003526432090636337
V282,0.0034662304888644882
V327,0.0034554244326982664
V142,0.0034487827441115255
V130,0.003441960191530268
V253,0.0033882817301636448
V193,0.0033730290049227584
V202,0.0033531973897924275
id_18,0.003272121448573214
V321,0.0032477494527896307
id_13,0.0032312337753316956
id_03,0.0032048760827149314
V173,0.0031392252366829842
V294,0.003089135410916823
V335,0.0029785125619211476
V209,0.0029771675701681004
id_34,0.0029241792912789656
V178,0.0028089617898537154
id_32,0.0027197165944080975
V234,0.002710465498251075
V292,0.0026987805160222323
V275,0.0026615119263848483
V162,0.0026128914498721153
V168,0.002612823690899365
V179,0.002594020446642772
V274,0.002249550228825254
V273,0.0021888695135695397
V163,0.0021508060520690295
id_26,0.0020646361138746162
V192,0.002061437191117602
V290,0.0019690893514890807
V263,0.001953082710905056
V177,0.001930225901914191
V265,0.001876042524986345
id_22,0.0018415615471823166
V227,0.0018194381304087468
V291,0.0017278958887212196
V270,0.0017072758486270392
V167,0.0016860564518728926
V312,0.0016545835005274852
V161,0.0016269283699935576
